provpass,uppgift_nr,delProv,fraga,alternativ_a,alternativ_b,alternativ_c,alternativ_d,alternativ_e,ratt_svar
2,1,ORD,prognos,besked,utvärdering,sammanfattning,förutsägelse,redovisning,D
2,2,ORD,slug,ivrig,otäck,girig,envis,listig,E
2,3,ORD,eftertrakta,ta reda på,följa efter,härma,vilja ha,fundera på,D
2,4,ORD,potential,stor skicklighet,inneboende möjligheter,sannolikt resultat,betydande framgångar,starka förhoppningar,B
2,5,ORD,utomordentlig,märklig,förhastad,oavsiktlig,förträfflig,noggrann,D
2,6,ORD,plombering,avskärmning,omledning,försegling,urgröpning,återställning,C
2,7,ORD,miserabel,eländig,vilsen,bitter,plågsam,otrevlig,A
2,8,ORD,fadäs,elakt skämt,kort vistelse,påminnelse,oförutsedd utgift,pinsamt misstag,E
2,9,ORD,ingalunda,inte alls,i onödan,undantagsvis,otillräckligt,ingenstans,A
2,10,ORD,erinra sig,undersöka,minnas,lugna sig,avvakta,invänta,B
2,11,LÄS,Vilket är det huvudsakliga målet med den studie som presenteras i texten?,Att ta reda på vilken betydelse undervisnings-,Att ta reda på hur väl ämnet samhällskunskap,Att ta reda på hur mycket elevers engagemang,Att ta reda på om förändringen av gymnasie skolan,,D
2,12,LÄS,Vad tycks ha stått i fokus vid utformningen av den skolreform som texten tar upp?,Elevernas framtida arbetsliv.,En stärkt demokrati.,Kunskaperna i teoretiska ämnen.,Skolans fostrande uppdrag.,,A
2,13,LÄS,Vilket påstående sammanfattar bäst vad Ola Nilsson signalerar med sin text?,Ljudboksmarknaden behöver regleras.,Ljudboksförlagen satsar inte på kvalitets-,Det är bättre att läsa böcker än att lyssna,Det är meningslöst att debattera ljudboken.,,C
2,14,LÄS,Ola Nilsson menar att den tryckta boken saknar ”gravitation”. Hur kan man bäst sammanfatta Daniel Åbergs svar på detta?,Ljudboken aktiverar andra sinnen vilket under-,Att lyssna på en bok kräver också en arbets-,"Det viktiga är litteraturens innehåll, inte hur det",Att lyssna och att läsa är helt olika aktiviteter,,B
2,15,LÄS,Vad vill Daniel Åberg få sagt angående resulta- tet i den empiriska jämförelsestudie som han refererar till?,Att resultatet kan vara en följd av läsningens höga,Att resultatet visar på studenters skilda förutsätt-,Att resultatet tyder på att läsning och lyssning är,Att resultatet bevisar att läsning är den bästa in-,,A
2,16,LÄS,Vilken funktion fyller den sista meningen i Daniel Åbergs text?,Den sammanfattar hans resonemang.,Den nyanserar hans i övrigt ensidiga argumenta-,Den synliggör att han och Ola Nilsson egentligen,Den skapar en viss distans till diskussionen som,,D
2,17,LÄS,Vad anges i texten som en orsak till att närings- halterna i Vindelälven och andra norrländska inlandsvatten har förändrats?,En ökad mängd näring har tagits upp av skogens,Anlagda kraftverksdammar har ökat mängden,Fiskodlingar har krävt allt större mängder näring.,Ett varmare klimat har ökat strandvegetationens,,A
2,18,LÄS,Vad är enligt texten orsaken till att mycket av fosforn i Ströms Vattudal inte är tillgänglig för biologisk produktion?,Avsaknaden av vegetation i litoralen.,Den ökande halten aluminium i pelagialen.,Att fosforn är bunden i organiskt material.,Att fosforn har koncentrerats till bottenmiljön,,A
2,19,LÄS,"Hur beskriver man bäst, utifrån texten, rela­ tionen mellan vattenreglering och fiskodling om man ser till näringsinnehållet i en kraft- verksdamm?",Vattenregleringen kan förvärra fiskodlingens,Vattenregleringen kan påskynda fiskodlingens,Fiskodlingen kan motverka vattenregleringens,Fiskodlingen kan kompensera för vattenregle-,,D
2,20,LÄS,Vilken frågeställning står i centrum för texten?,Hur minskar vi Östersjöns näringsöverskott?,Hur kan svenska inlandsvatten bli mer närings-,Hur utvecklas vilda fiskbestånd i näringsfattigt,Hur kan näringen i svenska inlandsvatten ut-,,B
2,21,MEK,"Precis som vanligt te är örtte en så kallad _____ , vilket innebär att man låter blad eller andra växtdelar dra i varmt vatten för att få ut smakämnena.",inkarnation,infusion,induktion,inversion,,B
2,22,MEK,"Första gången landsnamnet Sverige förekommer i _____ , stavat Swerighe, är i en _____ från Kalmar, daterad 1384.",original – bikt,klartext – kopia,skrift – urkund,citat – post,,C
2,23,MEK,"Sven Lindqvist bygger ett författarskap där varje ny bok tycks ta vid där den _____ slutade. Så upplever sig läsaren vara inbjuden till en resa, vars _____ tills vidare är oviss men med tiden kommer att framstå som självklar mot bakgrund av hur resan startade. Då uppstår den känsla av _____ som kanske utgör den verkliga nerven i Lindqvists författarskap, när man tar del av det i dess helhet.",andra – färdriktning – framtidstro,tidigare – utgångspunkt – tvetydighet,dessförinnan – grundbetydelse – desperation,föregående – slutdestination – kontinuitet,,D
2,24,MEK,"Ett klassiskt debattknep i politiken, som dock är ett brott mot vetenskaplig metod, är att ”_____ ”. Med uttrycket menas att man bara refererar utvalda delar av den samlade forskningen, i form av _____ citat som stöder den egna uppfattningen, medan övrigt förbises.",låta udda vara jämnt – obetydliga,koka soppa på en spik – påhittade,blanda äpplen och päron – motsägelsefulla,plocka russinen ur kakan – lösryckta,,D
2,25,MEK,"Namnförkortningar på företag, organisationer och _____ som uttalas som ord skrivs med versal begynnelsebokstav: Ikea, Jas, Nato, Sida.",egenheter,koncept,dylikt,dito,,C
2,26,MEK,"I Japan rekryteras ofta ny personal redan när de går i skolan, och de anställda stannar i regel i samma företag till pensionen. I tyst _____ mellan anställda och ledning har företagen _____ sig att behålla sin personal även under kärvare tider.",förbindelse – ålagt,medgivande – utfäst,samförstånd – åtagit,uppgörelse – utlyst,,C
